country,substance_use_deaths
Afghanistan,554.4802941
Albania,48.76514177
Algeria,638.2903063
American Samoa,2.45775564
Andorra,3.772875723
Angola,291.913346
Antigua and Barbuda,15.28727209
Argentina,908.6286548
Armenia,81.74045074
Australia,1725.1879
Austria,663.7180201
Azerbaijan,265.887926
Bahamas,24.9830572
Bahrain,10.37451765
Bangladesh,621.0878017
Barbados,11.32259833
Belarus,3241.748406
Belgium,755.4231461
Belize,14.91022095
Benin,83.66425371
Bermuda,5.17670331
Bhutan,9.831599555
Bolivia (Plurinational State of),428.0512758
Bosnia and Herzegovina,103.507011
Botswana,37.89485072
Brazil,10836.85099
Brunei Darussalam,4.929562926
Bulgaria,172.4464471
Burkina Faso,215.8707805
Burundi,102.9755627
Côte d'Ivoire,229.576856
Cabo Verde,6.782252405
Cambodia,171.4629556
Cameroon,266.8704454
Canada,3897.358556
Central African Republic,78.10789547
Chad,103.3188583
Chile,606.0416101
China,30906.44492
Colombia,250.9341355
Comoros,8.31316608
Congo,79.6075434
Cook Islands,3.27465316
Costa Rica,112.3118819
Croatia,345.0666919
Cuba,605.7911221
Cyprus,28.32299371
Czechia,585.9030715
Democratic People's Republic of Korea,724.9938789
Democratic Republic of the Congo,890.0035924
Denmark,1032.148414
Djibouti,15.56141794
Dominica,11.636778
Dominican Republic,206.6232703
Ecuador,417.9368407
Egypt,232.5224845
El Salvador,900.1245183
Equatorial Guinea,12.79950644
Eritrea,79.01501494
Estonia,368.6192779
Eswatini,15.4366926
Ethiopia,865.5074246
Fiji,5.295516469
Finland,872.3192144
France,5595.562101
Gabon,30.68037895
Gambia,18.61721577
Georgia,69.41491673
Germany,8066.543585
Ghana,289.121584
Greece,230.5783543
Greenland,31.43372711
Grenada,9.814626334
Guam,4.63191958
Guatemala,1998.761584
Guinea,98.24517566
Guinea-Bissau,19.2467909
Guyana,32.98445103
Haiti,428.2096378
Honduras,498.0891433
Hungary,609.8695494
Iceland,29.47300731
India,31728.90529
Indonesia,1242.221513
Iran (Islamic Republic of),3172.222316
Iraq,643.2321998
Ireland,300.5154865
Israel,129.8955193
Italy,915.089013
Jamaica,16.32616369
Japan,1160.158537
Jordan,34.1334903
Kazakhstan,2463.755255
Kenya,432.7625103
Kiribati,2.929536905
Kuwait,34.00106342
Kyrgyzstan,473.4166231
Lao People's Democratic Republic,87.82489221
Latvia,353.0611885
Lebanon,144.9905533
Lesotho,43.36513834
Liberia,39.40458191
Libya,229.6165105
Lithuania,503.4636154
Luxembourg,49.65123281
Madagascar,208.9436104
Malawi,165.8786746
Malaysia,314.7327023
Maldives,3.470954935
Mali,119.1335753
Malta,14.36507333
Marshall Islands,4.000357865
Mauritania,23.40660112
Mauritius,97.46744081
Mexico,5117.706658
Micronesia (Federated States of),5.237249488
Monaco,0.99284063
Mongolia,621.9488549
Montenegro,10.95704644
Morocco,519.2694909
Mozambique,394.1354603
Myanmar,603.1989353
Namibia,35.00812759
Nauru,2.632307734
Nepal,264.456185
Netherlands,659.7802898
New Zealand,125.1799066
Nicaragua,404.5995957
Niger,115.421301
Nigeria,1495.66254
Niue,2.134945992
North Macedonia,41.96753069
Northern Mariana Islands,7.461283154
Norway,489.6824001
Oman,24.9651558
Pakistan,3009.914019
Palau,1.783677631
Palestine,14.5139032
Panama,52.24654104
Papua New Guinea,125.5530167
Paraguay,338.0765512
Peru,509.7845612
Philippines,1431.131946
Poland,4603.35326
Portugal,235.3975071
Puerto Rico,201.6050006
Qatar,13.94549913
Republic of Korea,1117.879412
Republic of Moldova,479.751827
Romania,697.4145973
Russian Federation,34360.84117
Rwanda,143.3034107
Saint Kitts and Nevis,30.13402843
Saint Lucia,15.06783588
Saint Vincent and the Grenadines,15.33976741
Samoa,4.616220017
San Marino,1.032483406
Sao Tome and Principe,4.26400872
Saudi Arabia,305.0026538
Senegal,109.2944595
Serbia,452.8298496
Seychelles,3.243835443
Sierra Leone,60.03797585
Singapore,29.59279286
Slovakia,240.3619035
Slovenia,249.1866883
Solomon Islands,19.94127856
Somalia,167.248318
South Africa,698.3384073
South Sudan,64.08823353
Spain,1159.242834
Sri Lanka,534.1968861
Sudan,481.4473281
Suriname,23.11754945
Sweden,856.8581664
Switzerland,495.0485857
Syrian Arab Republic,215.8460989
Taiwan (Province of China),937.0240545
Tajikistan,173.2795356
Thailand,1121.389109
Timor-Leste,9.369956943
Togo,71.49002497
Tokelau,1.454145499
Tonga,2.473499457
Trinidad and Tobago,44.84625833
Tunisia,193.4328591
Turkey,585.7904686
Turkmenistan,250.869504
Tuvalu,2.4351778
Uganda,307.7172506
Ukraine,9213.885934
United Arab Emirates,890.5752012
United Kingdom,4422.429193
United Republic of Tanzania,544.0430137
United States of America,79785.3791
United States Virgin Islands,28.24023729
Uruguay,130.3773201
Uzbekistan,345.4667432
Vanuatu,6.773840299
Venezuela (Bolivarian Republic of),279.1821622
Viet Nam,2178.48071
Yemen,343.5679684
Zambia,198.0726251
Zimbabwe,181.219405
